resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,4,1,8,0.48,1366,2,2,1,5,4912.837921164952
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,5,1,7,0.52,459,2,1,0,5,4445.508577453693
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,6,1,1,0.54,1678,1,1,1,0,0
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,7,1,2,0.56,551,1,1,1,1,1684.834468090332
11081,1143,Not Set,female,firstyear,study6bp,3,3,0,0,0,0,0,8,1,3,0.68,413,1,1,1,2,2240.0424562184853
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,1,1,2,0.42,808,2,2,1,1,784.0587164328317
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,2,1,4,0.44,689,2,2,1,3,2570.958569437178
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,3,1,3,0.46,965,2,2,1,2,1601.5710707887774
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,4,1,8,0.48,1036,1,2,0,6,6258.410167539958
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,5,1,6,0.52,946,2,1,0,5,3855.9007209508272
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,6,1,7,0.54,1441,1,1,1,5,4806.7717359221715
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,7,1,1,0.56,779,1,1,1,0,0
11084,1144,23,male,firstyear,study6bp,3,3,0,0,0,0,0,8,1,5,0.68,572,1,1,1,4,3271.6716298398387
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,1,1,1,0.42,-1,-1,2,-1,0,0
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,2,1,2,0.44,718,2,2,1,0,3002.928216610875
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,3,1,5,0.46,521,2,2,1,2,4910.927858912561
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,4,1,7,0.48,490,2,2,1,3,5946.701781887023
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,5,1,6,0.52,497,2,1,0,3,5445.996905792665
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,6,1,3,0.54,607,2,1,0,1,3725.0451360334846
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,7,1,8,0.56,756,1,1,1,4,6447.541963798838
11085,1145,17,female,firstyear,study6bp,3,3,0,0,0,0,0,8,1,4,0.68,563,1,1,1,1,4343.548484194929
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,5,0.42,668,2,2,1,3,3413.4879987686872
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,6,0.44,584,1,2,0,4,4096.44999820739
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,3,0.46,751,2,2,1,2,1981.424999423325
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,8,0.48,901,1,2,0,5,5495.342998765409
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,4,0.52,652,2,1,0,3,2747.3179986700416
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,2,0.54,917,1,1,1,1,1049.0330001339316
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,7,0.56,784,1,1,1,4,4696.006998419762
11096,1146,42,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,1,0.68,1034,1,1,1,0,0
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,3,0.42,696,2,2,1,0,1366.6659999871626
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,4,0.44,658,1,2,0,1,2066.6769999661483
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,2,0.46,602,1,2,0,0,766.667999967467
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,6,0.48,664,2,2,1,2,3449.9669998767786
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,5,0.52,703,1,1,1,1,2733.3239999134094
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,8,0.54,533,2,1,0,4,4683.303999889176
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,1,0.56,753,2,1,0,0,0
11097,1147,39,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,7,0.68,557,1,1,1,3,4116.637999890372
